Round	Datum	Starttid	Arena	Spelplats	Klass	Hemmalag	Grupp	Bortalag	Matchnamn	Kamp nr	Omgångar	Tid per omgång	Kamp Id
1	Sat 2026-07-18	09:00	Arena	Plan CC	H	Hugo Morency / Lukas Morency	A	Leonel Penela / Hannes Simonsson		1	3	20	32721757
1	Sat 2026-07-18	09:00	Arena	Plan SC1	H	Rasmus Bodén / Theo Hiller	B	Mantas Beniusis / Daniel Johansson		2	3	20	32721759
1	Sat 2026-07-18	09:00	Arena	Plan SC2	H	Axel Bondesson / Oliver Saxlund	C	Olle Ernevad / Ted Zethson		3	3	20	32721761
1	Sat 2026-07-18	10:00	Arena	Plan CC	H	Felix Pettersson / Martin Hansson	D	Daniel Enström / Leo Constantin		4	3	20	32721763
1	Sat 2026-07-18	10:00	Arena	Plan SC1	D	Lova Hägglund / Irma Mtabingwa Demilo	A	Nicole Tiourine / Erica Frischenfeldt		5	3	20	32721765
1	Sat 2026-07-18	10:00	Arena	Plan SC2	D	Tova Blomgren / Emma Tegnhammar	B	Felicia Granberg / Ida Georgsson		6	3	20	32721767
1	Sat 2026-07-18	11:00	Arena	Plan CC	D	Alexandra Borisova / Linnea Bengtsson	C	Lina Russo / Victoria Sahlberg		7	3	20	32721769
1	Sat 2026-07-18	11:00	Arena	Plan SC1	D	Maja Berg / Ingrid Axland	D	Guoda Vilké / Malin Linde		8	3	20	32721771
2	Sat 2026-07-18	12:00	Arena	Plan CC	H	Jakob Wijk Tegenrot / Valdemar Jacobsson Orrbeck	A	Winner match 1		9	3	20	32721758
2	Sat 2026-07-18	12:00	Arena	Plan SC1	H	Teddie Almblad Engvall / Fabian Ramén	B	Winner match 2		10	3	20	32721760
2	Sat 2026-07-18	12:00	Arena	Plan SC2	H	Anton Andersson / Valdemar Rasmusson	C	Winner match 3		11	3	20	32721762
2	Sat 2026-07-18	13:00	Arena	Plan CC	D	Emilia Saxne / Sanna Madestam	A	Winner match 5		12	3	20	32721766
2	Sat 2026-07-18	13:00	Arena	Plan SC1	D	Juste Derkintyte / Ellen Lindqvist	B	Winner match 6		13	3	20	32721768
2	Sat 2026-07-18	13:00	Arena	Plan SC2	H	Arvid Hillgren / Alfred Mjörnheim	D	Winner match 4		14	3	20	32721764
2	Sat 2026-07-18	14:00	Arena	Plan CC	D	Hulda Rudberg / Frida Johansson	C	Winner match 7		15	3	20	32721770
2	Sat 2026-07-18	14:00	Arena	Plan SC2	D	Linda Ericsson / Sofia Russo	D	Winner match 8		16	3	20	32721772
800	Sat 2026-07-18	15:00	Arena	Plan CC	H				Åttondel 1	17	3	20	32721773
800	Sat 2026-07-18	15:00	Arena	Plan SC1	H				Åttondel 2	18	3	20	32721774
800	Sat 2026-07-18	16:00	Arena	Plan CC	H				Åttondel 3	19	3	20	32721775
800	Sat 2026-07-18	16:00	Arena	Plan SC1	D				Åttondel 1	20	3	20	32721784
800	Sat 2026-07-18	16:00	Arena	Plan SC2	H				Åttondel 4	21	3	20	32721776
800	Sat 2026-07-18	17:00	Arena	Plan CC	D				Åttondel 2	22	3	20	32721785
800	Sat 2026-07-18	17:00	Arena	Plan SC1	D				Åttondel 3	23	3	20	32721786
800	Sat 2026-07-18	17:00	Arena	Plan SC2	D				Åttondel 4	24	3	20	32721787
400	Sun 2026-07-19	09:00	Arena	Plan CC	H	A/1		Segrare 17	Kvart 1	25	3	20	32721777
400	Sun 2026-07-19	09:00	Arena	Plan SC1	H			Segrare 18	Kvart 2	26	3	20	32721778
400	Sun 2026-07-19	09:00	Arena	Plan SC2	H	B/1		Segrare 19	Kvart 3	27	3	20	32721779
400	Sun 2026-07-19	10:00	Arena	Plan CC	H			Segrare 21	Kvart 4	28	3	20	32721780
400	Sun 2026-07-19	10:00	Arena	Plan SC1	D	A/1		Segrare 20	Kvart 1	29	3	20	32721788
400	Sun 2026-07-19	10:00	Arena	Plan SC2	D			Segrare 22	Kvart 2	30	3	20	32721789
400	Sun 2026-07-19	11:00	Arena	Plan CC	D	B/1		Segrare 23	Kvart 3	31	3	20	32721790
400	Sun 2026-07-19	11:00	Arena	Plan SC1	D			Segrare 24	Kvart 4	32	3	20	32721791
200	Sun 2026-07-19	12:00	Arena	Plan CC	H	Segrare 25		Segrare 26	Semi 1	33	3	20	32721781
200	Sun 2026-07-19	13:00	Arena	Plan CC	H	Segrare 27		Segrare 28	Semi 2	34	3	20	32721782
200	Sun 2026-07-19	14:00	Arena	Plan CC	D	Segrare 29		Segrare 30	Semi 1	35	3	20	32721792
200	Sun 2026-07-19	15:00	Arena	Plan CC	D	Segrare 31		Segrare 32	Semi 2	36	3	20	32721793
100	Sun 2026-07-19	16:00	Arena	Plan CC	H	Segrare 33		Segrare 34	Final	37	3	20	32721783
100	Sun 2026-07-19	17:00	Arena	Plan CC	D	Segrare 35		Segrare 36	Final	38	3	20	32721794

